,Unnamed: 0,Date,User,Tweet,scores,compound,comp_score
32,32,2022-10-10 19:47:04+00:00,PatriciaSandoE,"@AESElSalvador @SIGETSV Les solicito me ayuden a conectarme la luz todo lo del refrigerador ya se arruino y pasar otra noche así, no se puede, ya reporte por llamada en persona por mensaje por fb y nada…..🙏🏼🙏🏼🙏🏼🙏🏼","{'neg': 0.062, 'neu': 0.937, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
33,33,2022-10-10 19:43:33+00:00,PatriciaSandoE,"@AESElSalvador @SIGETSV buenas tardes solicito ayuda, desde ayer reporte q un árbol corto el cable de tendido eléctrico de mi casa y no llega CAESS a conectármela pasamos todo el día y toda la noche sin energía y ya estamos a medio día del siguiente y nada aun.","{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.7003}",-0.7003,neg
34,34,2022-10-10 19:43:19+00:00,NelsonMelara1,"@SIGETSV @claroelsalvador @TigoElSalvador @AESElSalvador @cablecolor_sv Con gusto y gracias, perdón por la demora pero ya no hay carga y la señal es mala. Les avisaremos","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
35,35,2022-10-10 19:24:11+00:00,maggie_1308,"@SIGETSV @alertux @AESElSalvador En San José la Majada, Juayúa tampoco hay energía eléctrica.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
36,36,2022-10-10 19:19:39+00:00,MauRivas10,@_CATALEYA_50 @AESElSalvador Tranquila yo estoy desde la medi a noche y apenas tengo carga de mi cel sin agua pero paciencia están trabajando todos tenemos necesidad la situación es complicada saldremos paciencia,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
37,37,2022-10-10 19:19:23+00:00,BenjaElias007,Ya son 24 horas sin servicio electrónico en colonia de Salcoatitan @AESElSalvador @SIGETSV,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
38,38,2022-10-10 18:50:08+00:00,ManciaNavarrete,"@AESElSalvador en la residencia Jardines del Cerro en Ciudad Credisa, Soyapango, se han caído árbolesl se y ha dejado sin luz a la residencial","{'neg': 0.138, 'neu': 0.769, 'pos': 0.092, 'compound': -0.296}",-0.296,neg
39,39,2022-10-10 18:44:49+00:00,jesussa20491755,@SIGETSV @Manuelsv @elsalvador @NoticieroSLV @alertux @PROCIVILSV @AESElSalvador @delsur_energia @Edesal_sv @EconomiaSV @MedioAmbienteSV En San Roque Mejicanos sin  energía desde la madrugada de hoy,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
40,40,2022-10-10 18:41:18+00:00,GladisqGladis,"Juayua sin energía eléctrica desde hace 20 minutos, según reportan un deslizamiento de tierra arrasó con tendido eléctrico y dejó a todo el pueblo sin el servicio.
@SIGETSV @AESElSalvador @ObrasPublicasSV https://t.co/iUuf1YECCs","{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
41,41,2022-10-10 18:16:52+00:00,miltonprezSV,@SIGETSV @PROCIVILSV @alcaldia_ss @AESElSalvador @claroelsalvador Gracias por la reacción rápida !!! https://t.co/l37plogiqB,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
42,42,2022-10-10 18:06:17+00:00,TigoElSalvador,"@2411E @SIGETSV @AESElSalvador Ha sido un gusto ayudarte 🙂 cualquier consulta quedamos a la orden, que tengas un excelente día, bendiciones 😉.","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",0.34,pos
43,43,2022-10-10 18:00:14+00:00,duniaguilera,"@AESElSalvador  sector de caserio La Pintal, cantón El Jicaral en Comacaran, San Miguel está sin luz desde anoche","{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
44,44,2022-10-10 17:52:32+00:00,2411E,"@SIGETSV @AESElSalvador Aún no se normaliza el servicio @AESElSalvador @SIGETSV 
Estamos sin servicio nuevamente 

Favor solventar a la mayor brevedad posible","{'neg': 0.227, 'neu': 0.667, 'pos': 0.106, 'compound': -0.4767}",-0.4767,neg
45,45,2022-10-10 17:52:17+00:00,editany1,@AESElSalvador no tenemos energía eléctrica en #ColAmatepec #Soyapango.,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
46,46,2022-10-10 17:51:37+00:00,2411E,@TigoElSalvador @SIGETSV @AESElSalvador Ya está resuelto lo del internet en la zona,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
47,47,2022-10-10 17:47:01+00:00,SVSinNombre,"Sin energía eléctrica en la zona de la escalón @AESElSalvador en la 99 av norte, final calle el tanque #TormentaTropicalJulia #climasv @alertux","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
48,48,2022-10-10 17:36:40+00:00,Serviciociudad,@SIGETSV @Manuelsv @nayibbukele @AESElSalvador No responde los de @AESElSalvador,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
49,49,2022-10-10 17:26:41+00:00,MPonC27,@AESElSalvador En seguida!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
50,50,2022-10-10 17:21:35+00:00,SIGETSV,@nachoargueta @delsur_energia @AESElSalvador Gracias por notificarnos.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
51,51,2022-10-10 17:19:02+00:00,Serviciociudad,@SIGETSV @Manuelsv @nayibbukele @AESElSalvador No lo tengo a la mano,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
52,52,2022-10-10 17:18:10+00:00,SIGETSV,"@Serviciociudad @Manuelsv @nayibbukele @AESElSalvador Gracias por el reporte @Serviciociudad, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
53,53,2022-10-10 17:11:21+00:00,Serviciociudad,@Manuelsv @nayibbukele @AESElSalvador @SIGETSV sin luz ya más de 10 horas colonia San Francisco Soyapango calle antigua a tonacatepeque psj 5,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
54,54,2022-10-10 17:07:42+00:00,nachoargueta,@delsur_energia @SIGETSV @AESElSalvador Gracias ya se restableció,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
55,55,2022-10-10 16:59:48+00:00,PAKALVTAN,"@AESElSalvador, nuevamente nos encontramos sin energía eléctrica en el cantón Rincón Dolores Cabañas, será a causa de #HuracanJulia","{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
56,56,2022-10-10 16:43:48+00:00,La_Luziernaga,"@SIGETSV @Manuelsv @AESElSalvador @DenunciasElSV @elsalvador @NoticieroSLV @delsur_energia @claroelsalvador @TigoElSalvador @MariaLuisaHayem Muchas gracias, ya mando el NC por mensaje. Gracias!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
57,57,2022-10-10 16:40:04+00:00,SIGETSV,"@La_Luziernaga @Manuelsv @AESElSalvador @DenunciasElSV @elsalvador @NoticieroSLV @delsur_energia @claroelsalvador @TigoElSalvador @suecallejas @MariaLuisaHayem Gracias por el reporte @La_Luziernaga, en estos momentos lo remitimos a @delsur_energia para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
58,58,2022-10-10 16:34:32+00:00,La_Luziernaga,"@SIGETSV @Manuelsv @AESElSalvador @DenunciasElSV @elsalvador @NoticieroSLV @delsur_energia @claroelsalvador @TigoElSalvador @suecallejas @MariaLuisaHayem Nosotros llamamos el día de ayer a Del Sur, por corte de energía y aun no nos visitan. Ya más de 24 horas.","{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
59,59,2022-10-10 16:32:51+00:00,TigoElSalvador,"@2411E @SIGETSV @AESElSalvador ¡Hola Efraín Alvarado👋! Estamos interesados en ayudarte, tu eres prioridad para nosotros, nos hemos puesto en contacto contigo por medio de DM 📥. Te esperamos. CC. @SIGETSV","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
60,60,2022-10-10 16:25:50+00:00,AESElSalvador,"@Angel31026817 Solicitamos que nos escriba por favor por medio de mensaje, le recordamos que sus datos son confidenciales.","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}",0.4019,pos
61,61,2022-10-10 16:20:09+00:00,AESElSalvador,"@MPonC27 ¡Buen día!  Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera.","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4574}",0.4574,pos
62,62,2022-10-10 16:14:55+00:00,VanessHdez,"@Meganoticias19 Así tiene el dictador Bukele @nayibbukele la carretera al aeropuerto, sin luz, el gobierno anterior la había dejado iluminada. Basuras 
@ObrasPublicasSV @FOVIALITO @PROCIVILSV  @RomeoHerrera1 @delsur_energia @AESElSalvador","{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
63,63,2022-10-10 16:09:43+00:00,2411E,"@SIGETSV @AESElSalvador Se restableció el servicio a esto de las 9:30am pero se volvió a desabastecer el servicio de energía eléctrica @SIGETSV @AESElSalvador 

También comentar que el serbio de internet de @TigoElSalvador  no hay. Favor resolver a la mayor brevedad posible","{'neg': 0.053, 'neu': 0.841, 'pos': 0.106, 'compound': 0.296}",0.296,pos
64,64,2022-10-10 16:09:25+00:00,SIGETSV,"@saulcastilloz @alertux @AESElSalvador Gracias por la retroalimentación, continuamos pendientes del seguimiento.

@AESElSalvador","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
65,65,2022-10-10 16:07:46+00:00,saulcastilloz,@SIGETSV @alertux @AESElSalvador @AESElSalvador Vino a desconectar elemento dañado pero siguen pendiente de reparación.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
66,66,2022-10-10 16:04:26+00:00,Marielo05475491,"@SIGETSV @AESElSalvador Con gusto  muchísimas gracias 
2190085","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
67,67,2022-10-10 16:01:18+00:00,AESElSalvador,"@Angel31026817 ¡Buen día!  Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera.","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4574}",0.4574,pos
68,68,2022-10-10 16:01:17+00:00,SIGETSV,@crpsanluis1 @AESElSalvador @nayibbukele @alertux @PROCIVILSV @EdgardoMulatoSV Gracias por notificarnos.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
69,69,2022-10-10 16:00:59+00:00,SIGETSV,@ElmerEs43636070 @AESElSalvador Gracias por notificarnos.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
70,70,2022-10-10 15:59:29+00:00,ElmerEs43636070,@SIGETSV @AESElSalvador confirmo ya fue solventado,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
71,71,2022-10-10 15:55:56+00:00,MPonC27,"#Ayuda @PROCIVILSV @AESElSalvador @BomberosSV Unas parras de varas de bambú se han caído en Barrio san jacinto colonia santa marta 1  pasaje T-1 casa #13, Han caído sobre cables de electricidad y sobre el techo de la casa.

Su ayuda por favor !!","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.508}",0.508,pos
72,72,2022-10-10 15:53:14+00:00,crpsanluis1,@SIGETSV @AESElSalvador @nayibbukele @alertux @PROCIVILSV @EdgardoMulatoSV El servicio ya se restableció 😃👍🏽,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
73,73,2022-10-10 15:49:22+00:00,SIGETSV,"@Marielo05475491 Gracias por el reporte @Marielo05475491, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
74,74,2022-10-10 15:48:52+00:00,Angel31026817,@AESElSalvador en la colonia Santa Marta 2 del Barrio San Jacinto no hay luz desde las 5:30 am,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
75,75,2022-10-10 15:40:45+00:00,AESElSalvador,"@Serviciociudad ¡Buen día! Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera.","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4574}",0.4574,pos
76,76,2022-10-10 15:36:00+00:00,RobetoLopez4,@SIGETSV @AESElSalvador Se lo voy agradecer mucho aun no contamos con la energia electrica y estamos trabajando desde casa y las empresas no creen q no tenemos energia electrica ellos solo velan por su bienestar nada mas,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.6808}",-0.6808,neg
77,77,2022-10-10 15:26:05+00:00,SIGETSV,"@Serviciociudad @AESElSalvador Gracias por el reporte @Serviciociudad, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
78,78,2022-10-10 15:25:00+00:00,SIGETSV,"@Canal9_LaUnion @BomberosSV @AESElSalvador Gracias por el reporte @Canal9_LaUnion, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
79,79,2022-10-10 15:22:34+00:00,SIGETSV,"@stereo100xela @CBMDEPTAL @FCastellanos25 Gracias por el reporte @stereo100xela, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
80,80,2022-10-10 15:21:04+00:00,SIGETSV,"@EsNoticiaGT Gracias por el reporte @EsNoticiaGT, en estos momentos lo remitimos a la distribuidora @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
81,81,2022-10-10 15:18:53+00:00,AESElSalvador,@Canal9_LaUnion Buenos días. Con gusto hemos dado seguimiento por mensaje.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
82,82,2022-10-10 15:18:42+00:00,Serviciociudad,@AESElSalvador @SIGETSV aquí en la colonia San Francisco Soyapango calle antigua a tonacatepeque psj 5 sin luz desde la madrugada,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
83,83,2022-10-10 15:15:23+00:00,SIGETSV,"@DiarioLaGaceta Gracias por el reporte @DiarioLaGaceta, en estos momentos lo remitimos a la distribuidora @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
